1.000000e+003 1.170815e+005 1.524526e+005 
9.090909e+002 1.084996e+005 1.443706e+005 
8.264463e+002 1.004380e+005 1.378069e+005 
7.513148e+002 9.284930e+004 1.313573e+005 
6.830135e+002 8.572032e+004 1.250369e+005 
6.209213e+002 7.903671e+004 1.188596e+005 
5.644739e+002 7.278289e+004 1.128379e+005 
5.131581e+002 6.694230e+004 1.069827e+005 
4.665074e+002 6.149764e+004 1.013034e+005 
4.240976e+002 5.643098e+004 9.580776e+004 
3.855433e+002 5.172403e+004 9.050216e+004 
3.504939e+002 4.735826e+004 8.539136e+004 
3.186308e+002 4.331510e+004 8.047867e+004 
2.896644e+002 3.957614e+004 7.576597e+004 
2.633313e+002 3.612322e+004 7.125386e+004 
2.393920e+002 3.293865e+004 6.694169e+004 
2.176291e+002 3.000530e+004 6.282775e+004 
1.978447e+002 2.730667e+004 5.890936e+004 
1.798588e+002 2.482699e+004 5.518308e+004 
1.635080e+002 2.255124e+004 5.164475e+004 
1.486436e+002 2.046516e+004 4.828971e+004 
1.351306e+002 1.855524e+004 4.511285e+004 
1.228460e+002 1.680873e+004 4.210873e+004 
1.116782e+002 1.521359e+004 3.927167e+004 
1.015256e+002 1.375845e+004 3.659578e+004 
9.229600e+001 1.243265e+004 3.407508e+004 
8.390545e+001 1.122613e+004 3.170349e+004 
7.627768e+001 1.012941e+004 2.947489e+004 
6.934335e+001 9.133631e+003 2.738316e+004 
6.303941e+001 8.230443e+003 2.542219e+004 
5.730855e+001 7.412041e+003 2.358590e+004 
5.209868e+001 6.671127e+003 2.186826e+004 
4.736244e+001 6.000905e+003 2.026331e+004 
4.305676e+001 5.395064e+003 1.876518e+004 
3.914251e+001 4.847769e+003 1.736811e+004 
3.558410e+001 4.353640e+003 1.606648e+004 
3.234918e+001 3.907737e+003 1.485482e+004 
2.940835e+001 3.505532e+003 1.372783e+004 
2.673486e+001 3.142885e+003 1.268042e+004 
2.430442e+001 2.816014e+003 1.170769e+004 
2.209493e+001 2.521470e+003 1.080494e+004 
2.008630e+001 2.256108e+003 9.967682e+003 
1.826027e+001 2.017071e+003 9.191646e+003 
1.660025e+001 1.801762e+003 8.472755e+003 
1.509113e+001 1.607830e+003 7.807137e+003 
1.371921e+001 1.433157e+003 7.191120e+003 
1.247201e+001 1.275835e+003 6.621229e+003 
1.133819e+001 1.134161e+003 6.094184e+003 
1.030745e+001 1.006611e+003 5.606901e+003 
9.370406e+000 8.918356e+002 5.156490e+003 
8.518551e+000 7.886341e+002 4.740250e+003 
7.744138e+000 6.959423e+002 4.355672e+003 
7.040125e+000 6.128126e+002 4.000431e+003 
6.400114e+000 5.383969e+002 3.672378e+003 
5.818285e+000 4.719296e+002 3.369533e+003 
5.289350e+000 4.127121e+002 3.090071e+003 
4.808500e+000 3.601007e+002 2.832310e+003 
4.371364e+000 3.134965e+002 2.594698e+003 
3.973967e+000 2.723396e+002 2.375796e+003 
3.612697e+000 2.361044e+002 2.174269e+003 
3.284270e+000 2.042986e+002 1.988871e+003 
