MPE 
4.000000e+001 
300 
2 
-1 -1 1 -1 6.200000e+000 1.327840e-003
0 -1 -1 -1 6.200000e+000 1.327840e-003
2 
-1 -1 1 -1 3.025000e+000 6.478572e-004
0 -1 -1 -1 3.025000e+000 6.478572e-004
2 
-1 -1 1 -1 1.031250e+001 2.208604e-003
0 -1 -1 -1 1.031250e+001 2.208604e-003
2 
-1 -1 1 -1 1.812500e+000 3.881789e-004
0 -1 -1 -1 1.812500e+000 3.881789e-004
2 
-1 -1 1 -1 7.875000e-001 1.686570e-004
0 -1 -1 -1 7.875000e-001 1.686570e-004
2 
-1 -1 1 -1 3.075000e+000 6.585656e-004
0 -1 -1 -1 3.075000e+000 6.585656e-004
2 
-1 -1 1 -1 2.150000e+000 4.604605e-004
0 -1 -1 -1 2.150000e+000 4.604605e-004
2 
-1 -1 1 -1 3.337500e+000 7.147846e-004
0 -1 -1 -1 3.337500e+000 7.147846e-004
2 
-1 -1 1 -1 3.048750e+001 6.529437e-003
0 -1 -1 -1 3.048750e+001 6.529437e-003
2 
-1 -1 1 -1 7.937500e+000 1.699956e-003
0 -1 -1 -1 7.937500e+000 1.699956e-003
2 
-1 -1 1 -1 8.012500e+000 1.716018e-003
0 -1 -1 -1 8.012500e+000 1.716018e-003
2 
-1 -1 1 -1 2.560000e+001 5.482692e-003
0 -1 -1 -1 2.560000e+001 5.482692e-003
2 
-1 -1 1 -1 8.500000e-001 1.820425e-004
0 -1 -1 -1 8.500000e-001 1.820425e-004
2 
-1 -1 1 -1 1.825000e+000 3.908560e-004
0 -1 -1 -1 1.825000e+000 3.908560e-004
2 
-1 -1 1 -1 8.187500e+000 1.753498e-003
0 -1 -1 -1 8.187500e+000 1.753498e-003
2 
-1 -1 1 -1 1.087500e+001 2.329073e-003
0 -1 -1 -1 1.087500e+001 2.329073e-003
2 
-1 -1 1 -1 7.600000e+000 1.627674e-003
0 -1 -1 -1 7.600000e+000 1.627674e-003
2 
-1 -1 1 -1 6.037500e+000 1.293037e-003
0 -1 -1 -1 6.037500e+000 1.293037e-003
2 
-1 -1 1 -1 9.750000e-001 2.088135e-004
0 -1 -1 -1 9.750000e-001 2.088135e-004
