0.000000e+000 1.000000e+000 1.000000e+000  1.000000e+000 
1.000000e-004 1.000000e+000 9.975093e-001  9.929649e-001 
1.005000e-004 1.000000e+000 9.950249e-001 9.929562e-001  
1.010025e-004 9.929475e-001 9.929475e-001 9.929475e-001  
1.015075e-004 9.929388e-001 9.929388e-001 9.929388e-001  
1.020151e-004 9.929301e-001 9.929301e-001 9.929301e-001  
1.025251e-004 9.929213e-001 9.929213e-001 9.929213e-001  
1.030378e-004 9.929126e-001 9.929126e-001 9.929126e-001  
1.035529e-004 9.929038e-001 9.929038e-001 9.929038e-001  
1.040707e-004 9.928950e-001 9.928950e-001 9.928950e-001  
1.045911e-004 9.928863e-001 9.928863e-001 9.928863e-001  
1.051140e-004 9.928775e-001 9.928775e-001 9.928775e-001  
1.056396e-004 9.928687e-001 9.928687e-001 9.928687e-001  
1.061678e-004 9.928598e-001 9.928598e-001 9.928598e-001  
1.066986e-004 9.928510e-001 9.928510e-001 9.928510e-001  
1.072321e-004 9.928422e-001 9.928422e-001 9.928422e-001  
1.077683e-004 9.928333e-001 9.928333e-001 9.928333e-001  
1.083071e-004 9.928245e-001 9.928245e-001 9.928245e-001  
1.088487e-004 9.928156e-001 9.928156e-001 9.928156e-001  
1.093929e-004 9.928067e-001 9.928067e-001 9.928067e-001  
1.099399e-004 9.927978e-001 9.927978e-001 9.927978e-001  
1.104896e-004 9.927889e-001 9.927889e-001 9.927889e-001  
1.110420e-004 9.927800e-001 9.927800e-001 9.927800e-001  
1.115972e-004 9.927711e-001 9.927711e-001 9.927711e-001  
1.121552e-004 9.927621e-001 9.927621e-001 9.927621e-001  
1.127160e-004 9.927532e-001 9.927532e-001 9.927532e-001  
1.132796e-004 9.927442e-001 9.927442e-001 9.927442e-001  
1.138460e-004 9.927353e-001 9.927353e-001 9.927353e-001  
1.144152e-004 9.927263e-001 9.927263e-001 9.927263e-001  
1.149873e-004 9.927173e-001 9.927173e-001 9.927173e-001  
1.155622e-004 9.927083e-001 9.927083e-001 9.927083e-001  
1.161400e-004 9.926993e-001 9.926993e-001 9.926993e-001  
1.167207e-004 9.926902e-001 9.926902e-001 9.926902e-001  
1.173043e-004 9.926812e-001 9.926812e-001 9.926812e-001  
1.178908e-004 9.926722e-001 9.926722e-001 9.926722e-001  
1.184803e-004 9.926631e-001 9.926631e-001 9.926631e-001  
1.190727e-004 9.926540e-001 9.926540e-001 9.926540e-001  
1.196681e-004 9.926449e-001 9.926449e-001 9.926449e-001  
1.202664e-004 9.926358e-001 9.926358e-001 9.926358e-001  
1.208677e-004 9.926267e-001 9.926267e-001 9.926267e-001  
1.214721e-004 9.926176e-001 9.926176e-001 9.926176e-001  
1.220794e-004 9.926085e-001 9.926085e-001 9.926085e-001  
1.226898e-004 9.925994e-001 9.925994e-001 9.925994e-001  
1.233033e-004 9.925902e-001 9.925902e-001 9.925902e-001  
1.239198e-004 9.925810e-001 9.925810e-001 9.925810e-001  
1.245394e-004 9.925719e-001 9.925719e-001 9.925719e-001  
1.251621e-004 9.925627e-001 9.925627e-001 9.925627e-001  
1.257879e-004 9.925535e-001 9.925535e-001 9.925535e-001  
1.264168e-004 9.925443e-001 9.925443e-001 9.925443e-001  
1.270489e-004 9.925351e-001 9.925351e-001 9.925351e-001  
1.276842e-004 9.925258e-001 9.925258e-001 9.925258e-001  
1.283226e-004 9.925166e-001 9.925166e-001 9.925166e-001  
1.289642e-004 9.925073e-001 9.925073e-001 9.925073e-001  
1.296090e-004 9.924981e-001 9.924981e-001 9.924981e-001  
1.302571e-004 9.924888e-001 9.924888e-001 9.924888e-001  
1.309083e-004 9.924795e-001 9.924795e-001 9.924795e-001  
1.315629e-004 9.924702e-001 9.924702e-001 9.924702e-001  
1.322207e-004 9.924609e-001 9.924609e-001 9.924609e-001  
1.328818e-004 9.924516e-001 9.924516e-001 9.924516e-001  
1.335462e-004 9.924422e-001 9.924422e-001 9.924422e-001  
1.342139e-004 9.924329e-001 9.924329e-001 9.924329e-001  
1.348850e-004 9.924235e-001 9.924235e-001 9.924235e-001  
1.355594e-004 9.924142e-001 9.924142e-001 9.924142e-001  
1.362372e-004 9.924048e-001 9.924048e-001 9.924048e-001  
1.369184e-004 9.923954e-001 9.923954e-001 9.923954e-001  
1.376030e-004 9.923860e-001 9.923860e-001 9.923860e-001  
1.382910e-004 9.923766e-001 9.923766e-001 9.923766e-001  
1.389825e-004 9.923672e-001 9.923672e-001 9.923672e-001  
1.396774e-004 9.923577e-001 9.923577e-001 9.923577e-001  
1.403758e-004 9.923483e-001 9.923483e-001 9.923483e-001  
1.410777e-004 9.923388e-001 9.923388e-001 9.923388e-001  
1.417831e-004 9.923293e-001 9.923293e-001 9.923293e-001  
1.424920e-004 9.923198e-001 9.923198e-001 9.923198e-001  
1.432044e-004 9.923103e-001 9.923103e-001 9.923103e-001  
1.439204e-004 9.923008e-001 9.923008e-001 9.923008e-001  
1.446401e-004 9.922913e-001 9.922913e-001 9.922913e-001  
1.453633e-004 9.922818e-001 9.922818e-001 9.922818e-001  
1.460901e-004 9.922722e-001 9.922722e-001 9.922722e-001  
1.468205e-004 9.922627e-001 9.922627e-001 9.922627e-001  
1.475546e-004 9.922531e-001 9.922531e-001 9.922531e-001  
1.482924e-004 9.922435e-001 9.922435e-001 9.922435e-001  
1.490339e-004 9.922339e-001 9.922339e-001 9.922339e-001  
1.497790e-004 9.922243e-001 9.922243e-001 9.922243e-001  
1.505279e-004 9.922147e-001 9.922147e-001 9.922147e-001  
